Song Title,Artist
Dreadlock Holiday,10cc
I'm Not In Love,10cc
The Things We Do for Love,10cc
How Long,Ace
Nothin' You Can Do About It,Airplay
Let's Stay Together,Al Green
Boogie Down,Al Jarreau
Breakin' Away,Al Jarreau
Mornin',Al Jarreau
Trouble In Paradise,Al Jarreau
We're In This Love Together,Al Jarreau
Year of the Cat,Al Stewart
Show and Tell,Al Wilson
Eye In the Sky,Alan Parsons Project
"Tighter, Tighter",Alive 'N Kickin'
Biggest Part of Me,Ambrosia
How Much I Feel,Ambrosia
You're the Only Woman (You & I),Ambrosia
Horse With No Name,America
Sister Golden Hair,America
Tin Man,America
Ventura Highway,America
You Can Do Magic,America
Lonely Boy,Andrew Gold
Caught Up In the Rapture (Single Version),Anita Baker
I Can't Stand the Rain,Ann Peebles
Hold Your Head Up (Single Version),Argent
Imaginary Lover,Atlanta Rhythm Section
So Into You,Atlanta Rhythm Section
Spooky,Atlanta Rhythm Section
"Sail On, Sailor",Beach Boys
How Deep Is Your Love,Bee Gees
"More Than A Woman (From ""Saturday Night Fever"" Soundtrack)",Bee Gees
One (Single Version),Bee Gees
Too Much Heaven,Bee Gees
Just Another Day In Paradise,Bertie Higgins
Key Largo,Bertie Higgins
Runaway,"Bill Champlin, Joseph Williams & Peter Friestedt"
Lean On Me,Bill Withers
Use Me,Bill Withers
Just the Way You Are,Billy Joel
New York State of Mind,Billy Joel
The Longest Time,Billy Joel
Caribbean Queen (No More Love On the Run),Billy Ocean
Will It Go Round in Circles,Billy Preston
Call Me,Blondie
Burnin' for You,Blue \'82\'e0\'f6\uc0\u8730 \'b1yster Cult
Three Little Birds,Bob Marley & The Wailers
Hollywood Nights,Bob Seger & The Silver Bullet Band
Night Moves,Bob Seger & The Silver Bullet Band
Old Time Rock & Roll,Bob Seger & The Silver Bullet Band
Ebony Eyes,Bob Welch
Down for the Third Time,Bobby Caldwell
My Flame,Bobby Caldwell
Open Your Eyes,Bobby Caldwell
What You Won't Do for Love,Bobby Caldwell
JoJo,Boz Scaggs
Lido Shuffle,Boz Scaggs
Lowdown,Boz Scaggs
Baby I'm-A Want You,Bread
Guitar Man,Bread
Make It With You,Bread
Every Little Kiss,Bruce Hornsby & The Range
Mandolin Rain,Bruce Hornsby & The Range
Valley Road,Bruce Hornsby & The Range
Way It Is,Bruce Hornsby & The Range
For What It's Worth,Buffalo Springfield
Love Will Keep Us Together,Captain & Tennille
Coming Around Again,Carly Simon
You Belong to Me,Carly Simon
You're So Vain,Carly Simon
We've Only Just Begun,Carpenters
How 'Bout Us,Champaign
Got to Be Real,Cheryl Lynn
(I've Been) Searchin' So Long (Remastered),Chicago
25 or 6 to 4,Chicago
Does Anybody Really Know What Time It Is? (New Edit),Chicago
Does Anybody Really Know What Time It Is? (Remastered),Chicago
Hard to Say I'm Sorry / Get Away,Chicago
If You Leave Me Now,Chicago
Saturday in the Park (2022 Remaster),Chicago
You're the Inspiration,Chicago
Stumblin' In (2017 Remaster),Chris Norman & Suzi Quatro
Arthur's Theme (Best That You Can Do),Christopher Cross
I Really Don't Know Anymore,Christopher Cross
Minstrel Gigolo,Christopher Cross
Ride Like the Wind,Christopher Cross
Sailing,Christopher Cross
Feels So Good,Chuck Mangione
Couldn't Get It Right,Climax Blues Band
Sunshine of Your Love,Cream
Bad Moon Rising,Creedence Clearwater Revival
Born On the Bayou,Creedence Clearwater Revival
Down On the Corner,Creedence Clearwater Revival
Fortunate Son,Creedence Clearwater Revival
Have You Ever Seen the Rain?,Creedence Clearwater Revival
I Heard It Through the Grapevine (Mono Single),Creedence Clearwater Revival
Lookin' Out My Back Door,Creedence Clearwater Revival
Run Through the Jungle,Creedence Clearwater Revival
Susie Q,Creedence Clearwater Revival
Who'll Stop the Rain,Creedence Clearwater Revival
Just a Song Before I Go,"Crosby, Stills & Nash"
Southern Cross,"Crosby, Stills & Nash"
Ohio,"Crosby, Stills, Nash & Young"
I Can't Go for That (No Can Do),Daryl Hall & John Oates
Kiss on My List,Daryl Hall & John Oates
Maneater,Daryl Hall & John Oates
One On One,Daryl Hall & John Oates
Private Eyes,Daryl Hall & John Oates
Rich Girl,Daryl Hall & John Oates
Sara Smile,Daryl Hall & John Oates
She\'82\'c4\'f6\uc0\u8730 \'d1\u8730 \'a5s Gone,Daryl Hall & John Oates
We Just Disagree,Dave Mason
The Edge,David McCallum
All This Love,DeBarge
I Like It,DeBarge
Love Me In a Special Way,DeBarge
Smoke On the Water,Deep Purple
Ain't No Mountain High Enough,Diana Ross
Walk On By,Dionne Warwick
Money For Nothing (Single Edit) [2022 Remaster],Dire Straits
Sultans of Swing,Dire Straits
Walk of Life,Dire Straits
Drift Away (Rerecorded),Dobie Gray
Jolene,Dolly Parton
All She Wants to Do Is Dance,Don Henley
Boys of Summer,Don Henley
Dirty Laundry,Don Henley
I.G.Y.,Donald Fagen
Hot Stuff,Donna Summer
China Grove,Doobie Brothers
Listen to the Music,Doobie Brothers
Minute By Minute,Doobie Brothers
Takin' It To the Streets ,Doobie Brothers
You Belong to Me,Doobie Brothers
Devils Ball (feat. Herb Alpert),Double
The Captain of Her Heart,Double
Your Prayer Takes Me Off,Double
Sexy Eyes,Dr. Hook
The Cover of the Rolling Stone (Live),Dr. Hook
Right Place Wrong Time,Dr. John
It's Changed,"Dr. Lonnie Smith, George Benson, Joe Lovano & Ron Carter"
Son of a Preacher Man,Dusty Springfield
Desperado,Eagles
Hotel California,Eagles
I Can't Tell You Why,Eagles
I Can't Tell You Why ,Eagles
Life In the Fast Lane,Eagles
Seven Bridges Road (Live),Eagles
Take It Easy,Eagles
The Long Run,Eagles
Witchy Woman,Eagles
